"order" "species" "adult_body_mass_g" "adult_head_body_len_mm" "home_range_km2" "litter_size"
"Rodentia" "Calomys lepidus" 20.59 NA NA 4.29
"Rodentia" "Calomys musculinus" 20.2 NA NA 6.27
"Rodentia" "Calomys sorellus" 20 NA NA NA
"Rodentia" "Calomys tener" 13.8 69.2 NA NA
"Rodentia" "Calomys tocantinsi" NA NA NA NA
"Rodentia" "Calomys venustus" 49.33 NA NA NA
"Rodentia" "Calomyscus bailwardi" 21.38 NA NA 4
"Rodentia" "Calomyscus baluchi" NA NA NA NA
"Rodentia" "Calomyscus elburzensis" NA NA NA NA
"Rodentia" "Calomyscus grandis" NA NA NA NA
"Rodentia" "Calomyscus hotsoni" NA NA NA NA
"Rodentia" "Calomyscus mystax" NA NA NA 4.99
"Rodentia" "Calomyscus tsolovi" NA NA NA NA
"Rodentia" "Calomyscus urartensis" NA NA NA NA
"Diprotodontia" "Caloprymnus campestris" 927.57 NA NA 1
"Carnivora" "Atelocynus microtis" 8363.22 831.01 NA NA
"Rodentia" "Atherurus africanus" 2875.65 430.99 0.12 1.5
"Rodentia" "Atherurus macrourus" 2000 NA NA 1.5
"Carnivora" "Atilax paludinosus" 3600.16 499.01 1.73 2
"Rodentia" "Atlantoxerus getulus" 250.57 189.1 NA NA
"Rodentia" "Auliscomys boliviensis" 70.91 NA NA 3.4
"Rodentia" "Auliscomys pictus" 48.97 NA NA NA
"Rodentia" "Auliscomys sublimis" 38 NA NA NA
"Primates" "Avahi laniger" 1092.28 275 0.01 1.01
"Primates" "Avahi occidentalis" 828.98 NA 0.01 1.02
"Primates" "Avahi unicolor" NA NA NA NA
"Artiodactyla" "Axis axis" 69499.99 NA 0.67 1.01
"Artiodactyla" "Axis calamianensis" 39812.6 1387.44 NA 2
"Artiodactyla" "Axis kuhlii" 54999.99 1375 NA 1.22
"Artiodactyla" "Axis porcinus" 37448.29 NA 0.52 1
"Artiodactyla" "Babyrousa babyrussa" 92950.09 950 NA 1.73
"Artiodactyla" "Babyrousa bolabatuensis" NA NA NA NA
"Artiodactyla" "Babyrousa celebensis" NA NA NA NA
"Cetacea" "Balaenoptera musculus" 154321304.5 30480 NA 1
"Cetacea" "Balaenoptera physalus" 47506008.23 20641.06 NA 1.01
"Chiroptera" "Balantiopteryx infusca" NA NA NA NA
"Chiroptera" "Balantiopteryx io" 3.97 40.2 NA 1
"Chiroptera" "Balantiopteryx plicata" 6.57 NA NA 0.99
