"order" "species" "adult_body_mass_g" "adult_head_body_len_mm" "home_range_km2" "litter_size"
"Soricomorpha" "Crocidura thalia" NA NA NA NA
"Soricomorpha" "Crocidura theresae" 17.6 NA NA NA
"Soricomorpha" "Crocidura thomensis" NA NA NA NA
"Soricomorpha" "Crocidura trichura" NA NA NA NA
"Soricomorpha" "Crocidura turba" 14.49 NA NA 2
"Soricomorpha" "Crocidura ultima" 16 NA NA NA
"Soricomorpha" "Crocidura usambarae" 11.83 79.72 NA 1.99
"Soricomorpha" "Crocidura viaria" 16.49 88.8 NA 3.49
"Soricomorpha" "Crocidura virgata" NA NA NA NA
"Soricomorpha" "Crocidura voi" NA NA NA NA
"Soricomorpha" "Crocidura vorax" NA NA NA NA
"Soricomorpha" "Crocidura vosmaeri" NA NA NA NA
"Soricomorpha" "Crocidura watasei" NA NA NA NA
"Soricomorpha" "Crocidura whitakeri" 5.58 61.2 NA NA
"Soricomorpha" "Crocidura wimmeri" 23.5 NA NA NA
"Soricomorpha" "Crocidura wuchihensis" NA NA NA NA
"Soricomorpha" "Crocidura xantippe" NA NA NA NA
"Soricomorpha" "Crocidura yankariensis" 4.99 NA NA NA
"Soricomorpha" "Crocidura zaphiri" NA NA NA NA
"Soricomorpha" "Crocidura zarudnyi" NA NA NA 5.99
"Soricomorpha" "Crocidura zimmeri" 14.49 NA NA NA
"Soricomorpha" "Crocidura zimmermanni" NA NA NA NA
"Carnivora" "Crocuta crocuta" 63369.98 1300.11 21.93 1.91
"Carnivora" "Crossarchus alexandri" 1503.4 448.99 NA 4
"Carnivora" "Crossarchus ansorgei" 700 325.52 NA NA
"Carnivora" "Crossarchus obscurus" 1395.09 338.98 NA 4.29
"Carnivora" "Crossarchus platycephalus" NA NA NA NA
"Rodentia" "Crossomys moncktoni" 168.42 193.61 NA 1.07
"Rodentia" "Crunomys celebensis" NA NA NA NA
"Rodentia" "Crunomys fallax" NA 105 NA NA
"Rodentia" "Crunomys melanius" NA 99.49 NA NA
"Rodentia" "Crunomys suncoides" NA NA NA NA
"Afrosoricida" "Cryptochloris wintoni" NA 89.99 NA NA
"Afrosoricida" "Cryptochloris zyli" NA 84.85 NA NA
"Rodentia" "Cryptomys amatus" 76.74 NA NA NA
"Rodentia" "Cryptomys anselli" 85.59 NA NA NA
"Rodentia" "Cryptomys bocagei" 93.84 NA NA NA
"Rodentia" "Cryptomys damarensis" 112.2 NA 0.01 3
"Rodentia" "Cryptomys darlingi" 65.58 NA NA 1.84
"Rodentia" "Cryptomys foxi" NA NA NA NA
"Rodentia" "Cryptomys hottentotus" 75.13 NA 0.001455832 2.48
"Rodentia" "Cryptomys kafuensis" NA NA NA NA
"Rodentia" "Cryptomys mechowi" 271.54 NA NA 2.6
"Rodentia" "Cryptomys ochraceocinereus" 200 NA NA 3
"Rodentia" "Cryptomys zechi" NA NA NA NA
"Carnivora" "Cryptoprocta ferox" 9500 726.04 0.75 2.98
"Soricomorpha" "Cryptotis alticola" NA NA NA NA
"Soricomorpha" "Cryptotis brachyonyx" NA NA NA NA
"Soricomorpha" "Cryptotis colombiana" NA NA NA NA
"Soricomorpha" "Cryptotis endersi" NA NA NA NA
"Soricomorpha" "Cryptotis equatoris" NA NA NA NA
"Soricomorpha" "Cryptotis goldmani" 6.73 NA NA NA
"Soricomorpha" "Cryptotis goodwini" 7 94.91 NA NA
"Soricomorpha" "Cryptotis gracilis" NA NA NA NA
"Soricomorpha" "Cryptotis griseoventris" NA NA NA NA
"Soricomorpha" "Cryptotis hondurensis" NA NA NA NA
"Soricomorpha" "Cryptotis magna" 7 84.99 NA 2.99
"Soricomorpha" "Cryptotis mayensis" NA NA NA NA
"Soricomorpha" "Cryptotis medellinia" NA NA NA NA
"Soricomorpha" "Cryptotis mera" NA NA NA NA
"Soricomorpha" "Cryptotis meridensis" 12.63 NA NA NA
"Soricomorpha" "Cryptotis merriami" NA NA NA NA
"Soricomorpha" "Cryptotis mexicana" 7 60.99 NA 2.99
"Soricomorpha" "Cryptotis montivaga" 11.29 79.6 NA NA
"Soricomorpha" "Cryptotis nelsoni" NA NA NA NA
"Soricomorpha" "Cryptotis nigrescens" 8.32 NA NA NA
"Soricomorpha" "Cryptotis obscura" NA NA NA NA
"Soricomorpha" "Cryptotis orophila" NA NA NA NA
"Soricomorpha" "Cryptotis parva" 4.97 67.99 0.001442322 4.55
"Soricomorpha" "Cryptotis peregrina" NA NA NA NA
"Soricomorpha" "Cryptotis peruviensis" NA NA NA NA
"Soricomorpha" "Cryptotis phillipsii" NA NA NA NA
"Soricomorpha" "Cryptotis squamipes" 11 NA NA NA
"Soricomorpha" "Cryptotis tamensis" NA NA NA NA
"Soricomorpha" "Cryptotis thomasi" 11.77 NA NA NA
"Soricomorpha" "Cryptotis tropicalis" NA NA NA NA
"Rodentia" "Ctenodactylus gundi" 288.41 208 NA 2
"Rodentia" "Ctenodactylus vali" 173.6 176 NA 2
"Rodentia" "Ctenomys argentinus" 221.3 NA NA NA
"Rodentia" "Ctenomys australis" 403.32 NA NA NA
"Rodentia" "Ctenomys azarae" 400 NA NA NA
"Rodentia" "Ctenomys bergi" NA NA NA NA
"Rodentia" "Ctenomys boliviensis" 462.6 221.1 NA NA
"Rodentia" "Ctenomys bonettoi" 202.3 NA NA NA
"Rodentia" "Ctenomys brasiliensis" NA NA NA NA
"Rodentia" "Ctenomys budini" NA NA NA NA
"Rodentia" "Ctenomys colburni" 400 NA NA NA
"Rodentia" "Ctenomys coludo" NA NA NA NA
"Rodentia" "Ctenomys conoveri" 859.99 258.5 NA NA
"Rodentia" "Ctenomys coyhaiquensis" NA NA NA NA
"Rodentia" "Ctenomys dorbignyi" NA NA NA NA
"Rodentia" "Ctenomys dorsalis" 165.6 200 NA NA
"Rodentia" "Ctenomys emilianus" 285.29 NA NA NA
"Rodentia" "Ctenomys famosus" NA NA NA NA
"Rodentia" "Ctenomys flamarioni" NA NA NA NA
"Rodentia" "Ctenomys fochi" NA NA NA NA
"Rodentia" "Ctenomys fodax" NA NA NA NA
"Rodentia" "Ctenomys frater" 172.9 188.3 NA NA
"Rodentia" "Ctenomys fulvus" 279.88 NA NA NA
"Rodentia" "Ctenomys goodfellowi" NA NA NA NA
"Rodentia" "Ctenomys haigi" 164 173.49 3.29744e-05 NA
"Rodentia" "Ctenomys johannis" NA NA NA NA
"Rodentia" "Ctenomys juris" NA NA NA NA
"Rodentia" "Ctenomys knighti" 316 NA NA NA
"Rodentia" "Ctenomys lami" NA NA NA NA
"Rodentia" "Ctenomys latro" 192 NA NA NA
"Rodentia" "Ctenomys leucodon" 243.6 NA NA NA
"Rodentia" "Ctenomys lewisi" 117.2 177.5 NA NA
"Rodentia" "Ctenomys magellanicus" 271.44 216 NA NA
"Rodentia" "Ctenomys maulinus" 215 NA NA NA
"Rodentia" "Ctenomys mendocinus" 178.44 NA NA NA
"Rodentia" "Ctenomys minutus" 92 156.99 NA NA
"Rodentia" "Ctenomys occultus" 150 NA NA NA
"Rodentia" "Ctenomys opimus" 327.05 213.29 NA 2
"Rodentia" "Ctenomys osvaldoreigi" NA NA NA NA
"Rodentia" "Ctenomys pearsoni" 212 NA NA NA
"Rodentia" "Ctenomys perrensi" 400 NA NA NA
"Rodentia" "Ctenomys peruanus" 488.36 238 NA 3
"Rodentia" "Ctenomys pilarensis" NA NA NA NA
"Rodentia" "Ctenomys pontifex" 400 NA NA NA
"Rodentia" "Ctenomys porteousi" 192.4 NA NA NA
"Rodentia" "Ctenomys pundti" NA NA NA NA
"Rodentia" "Ctenomys rionegrensis" NA NA NA NA
"Rodentia" "Ctenomys roigi" NA NA NA NA
"Rodentia" "Ctenomys saltarius" 230 NA NA NA
"Rodentia" "Ctenomys scagliai" NA NA NA NA
"Rodentia" "Ctenomys sericeus" 400 NA NA NA
"Rodentia" "Ctenomys sociabilis" 400 NA NA NA
"Rodentia" "Ctenomys steinbachi" 384.99 196.6 NA NA
"Rodentia" "Ctenomys sylvanus" NA NA NA NA
"Rodentia" "Ctenomys talarum" 140.84 NA 2.0373e-05 4.34
"Rodentia" "Ctenomys torquatus" 209.49 187 NA 2.5
"Rodentia" "Ctenomys tuconax" 248.99 NA NA NA
"Rodentia" "Ctenomys tucumanus" 217 NA NA NA
"Rodentia" "Ctenomys tulduco" NA NA NA NA
"Rodentia" "Ctenomys validus" 232.6 NA NA NA
"Rodentia" "Ctenomys viperinus" NA NA NA NA
"Rodentia" "Ctenomys yolandae" NA NA NA NA
"Rodentia" "Cuniculus paca" 8172.55 647.06 NA 1.01
"Rodentia" "Cuniculus taczanowskii" 8999.95 NA NA 1
"Carnivora" "Cuon alpinus" 15800 987.74 33.64 4.3
"Rodentia" "Cuscomys ashaninka" NA NA NA NA
"Rodentia" "Cuscomys oblativa" NA NA NA NA
"Pilosa" "Cyclopes didactylus" 263.95 177.18 0.03 1
"Carnivora" "Cynictis penicillata" 694.41 291.87 1.89 2.15
"Dermoptera" "Cynocephalus volans" 1250 379.43 0.07 1
"Carnivora" "Cynogale bennettii" 4246.57 624.54 NA 2.3
"Chiroptera" "Cynomops abrasus" 35.39 NA NA 0.98
"Chiroptera" "Cynomops greenhalli" 15.87 NA NA 0.99
"Chiroptera" "Cynomops mexicanus" NA NA NA NA
"Chiroptera" "Cynomops paranus" 12.16 NA NA NA
"Chiroptera" "Cynomops planirostris" 12.84 NA NA 1
"Rodentia" "Cynomys gunnisoni" 797.93 279.12 0.007188295 4.48
"Rodentia" "Cynomys leucurus" 963.76 307.49 0.05 5.4
"Rodentia" "Cynomys ludovicianus" 797.05 294.04 0.001787394 4.43
"Rodentia" "Cynomys mexicanus" 899.98 341.09 NA 4.18
"Rodentia" "Cynomys parvidens" 899.98 288.47 NA 4.89
"Chiroptera" "Cynopterus brachyotis" 33.87 NA NA 0.99
"Chiroptera" "Cynopterus horsfieldii" 56.01 NA NA NA
"Chiroptera" "Cynopterus luzoniensis" NA NA NA NA
"Chiroptera" "Cynopterus minutus" 26.45 NA NA NA
"Chiroptera" "Cynopterus nusatenggara" NA NA NA NA
"Chiroptera" "Cynopterus sphinx" 44.71 98.99 NA 1.5
"Chiroptera" "Cynopterus titthaecheilus" 58.33 NA NA 1
"Carnivora" "Cystophora cristata" 278896.81 2323.06 NA 1
"Chiroptera" "Cyttarops alecto" 5.3 NA NA NA
"Rodentia" "Dacnomys millardi" NA NA NA NA
"Rodentia" "Dactylomys boliviensis" 728.8 NA NA NA
"Rodentia" "Dactylomys dactylinus" 649.98 285.02 0.001669342 NA
"Rodentia" "Dactylomys peruanus" 382 NA NA NA
"Diprotodontia" "Dactylopsila megalura" NA 223.08 NA NA
"Diprotodontia" "Dactylopsila palpator" 369.87 234.89 NA 1.02
"Diprotodontia" "Dactylopsila tatei" 252 NA NA NA
"Diprotodontia" "Dactylopsila trivirgata" 413.41 254.55 0.09 1.54
"Artiodactyla" "Dama dama" 57224.61 NA 0.71 1
"Artiodactyla" "Damaliscus korrigum" 127194.87 NA NA NA
"Artiodactyla" "Damaliscus lunatus" 136000.33 1700 NA 0.98
"Artiodactyla" "Damaliscus pygargus" 77784.55 NA NA 1.41
"Artiodactyla" "Damaliscus superstes" NA NA NA NA
"Dasyuromorphia" "Dasycercus cristicauda" 99.54 175 NA 6.5
"Dasyuromorphia" "Dasykaluta rosamondae" 32.17 NA NA 6.64
"Rodentia" "Dasymys alleni" NA NA NA NA
"Rodentia" "Dasymys cabrali" NA NA NA NA
"Rodentia" "Dasymys foxi" NA NA NA NA
"Rodentia" "Dasymys incomtus" 127.75 NA NA 2.67
"Cingulata" "Dasypus septemcinctus" 1526.64 NA NA 5.99
"Cingulata" "Dasypus yepesi" NA NA NA NA
"Dasyuromorphia" "Dasyuroides byrnei" 109.47 158.49 NA 5.14
"Dasyuromorphia" "Dasyurus albopunctatus" 603.48 268.92 NA 6.19
"Dasyuromorphia" "Dasyurus geoffroii" 1106.62 348.9 2.73 5.47
"Dasyuromorphia" "Dasyurus hallucatus" 470.92 214.16 0.02 6.39
"Dasyuromorphia" "Dasyurus maculatus" 3284.15 427.29 1.36 4.47
"Dasyuromorphia" "Dasyurus spartacus" 885.67 356.27 NA 6.78
"Dasyuromorphia" "Dasyurus viverrinus" 1101.49 333.38 0.33 4.7
"Primates" "Daubentonia madagascariensis" 2731.37 400 0.06 1.01
"Rodentia" "Delanymys brooksi" 4.99 NA NA 3.19
"Chiroptera" "Eptesicus japonensis" NA NA NA NA
"Rodentia" "Dipodillus rupicola" NA NA NA NA
"Rodentia" "Dipodillus simoni" 17.4 NA NA 4.68
"Rodentia" "Dipodillus somalicus" NA NA NA NA
"Rodentia" "Dipodillus stigmonyx" NA NA NA NA
"Rodentia" "Dipodillus zakariai" NA NA NA NA
"Rodentia" "Dipodomys agilis" 60.21 NA 0.002396454 2.6
"Rodentia" "Dipodomys californicus" 84.95 115.15 NA 2.6
"Rodentia" "Dipodomys compactus" 49.25 167.81 NA 1.94
"Rodentia" "Dipodomys deserti" 107.63 138.11 NA 3.36
"Rodentia" "Dipodomys elator" 105.82 119.5 0.00073307 2.91
"Rodentia" "Dipodomys gravipes" 83.96 129.04 NA NA
"Rodentia" "Dipodomys heermanni" 63.08 111.25 NA 3.11
"Rodentia" "Dipodomys ingens" 113.61 147.83 0.000314541 4.77
"Rodentia" "Dipodomys merriami" 37.91 98.54 0.001745298 2.39
"Rodentia" "Dipodomys microps" 56.26 112.47 0.03 2.37
"Rodentia" "Dipodomys nelsoni" 87.93 127.5 NA 1.94
"Rodentia" "Dipodomys nitratoides" 41.59 97.45 NA 2.14
"Rodentia" "Dipodomys ordii" 50.4 113.92 0.004440926 2.95
"Rodentia" "Dipodomys panamintinus" 73.67 120.46 0.003884943 3.78
"Rodentia" "Dipodomys phillipsii" 41 95.86 NA 2.59
"Rodentia" "Dipodomys simulans" NA NA NA NA
"Rodentia" "Dipodomys spectabilis" 124.61 141.14 0.000506179 2.67
"Rodentia" "Dipodomys stephensi" 68.49 116.5 0.000790491 2.68
"Rodentia" "Dipodomys venustus" 81.52 126.49 NA 1.73
"Rodentia" "Dipus sagitta" 89 NA NA 3.49
"Diprotodontia" "Distoechurus pennatus" 52.74 117.66 NA 1.31
"Chiroptera" "Dobsonia anderseni" 233.99 NA NA NA
"Chiroptera" "Dobsonia beauforti" 165.35 161.28 NA 0.99
"Chiroptera" "Dobsonia chapmani" NA NA NA NA
"Chiroptera" "Dobsonia crenulata" 218.21 178.14 NA NA
"Chiroptera" "Dobsonia emersa" 201.06 164.32 NA NA
"Chiroptera" "Dobsonia exoleta" 302.03 202.74 NA NA
"Chiroptera" "Dobsonia inermis" 152.6 173.98 NA 0.99
"Chiroptera" "Dobsonia magna" 465 NA NA NA
"Chiroptera" "Dobsonia minor" 85.95 NA NA 0.99
"Chiroptera" "Dobsonia moluccensis" 447.64 NA NA 0.99
"Chiroptera" "Dobsonia pannietensis" 239.19 186.23 NA 0.98
"Chiroptera" "Dobsonia peronii" 226.51 NA NA 0.98
"Chiroptera" "Dobsonia praedatrix" 178.74 161.13 NA 1
"Chiroptera" "Dobsonia viridis" 240.66 NA NA NA
"Rodentia" "Dolichotis patagonum" 8000 663.84 0.69 1.75
"Rodentia" "Dolichotis salinicola" 1607.6 NA NA 1.94
"Carnivora" "Dologale dybowskii" 361.92 289.15 NA 4
"Artiodactyla" "Dorcatragus megalotis" 10918.12 779.98 NA 1
"Diprotodontia" "Dorcopsis atrata" 6198.87 591.38 NA 1.01
"Diprotodontia" "Dorcopsis hageni" 5499.99 537.62 NA 1.01
"Diprotodontia" "Dorcopsis luctuosa" 4939.56 663.46 NA 1.01
"Diprotodontia" "Dorcopsis muelleri" 5370.79 678.67 NA 1
"Diprotodontia" "Dorcopsulus macleayi" 2780.54 399.68 NA 1.24
"Diprotodontia" "Dorcopsulus vanheurni" 1890.36 386.89 NA 1.18
"Rodentia" "Dremomys everetti" 129.78 203.5 NA NA
"Rodentia" "Dremomys gularis" NA NA NA NA
"Rodentia" "Dremomys lokriah" 226.99 NA NA 3.68
"Rodentia" "Dremomys pernyi" 198.63 NA NA NA
"Rodentia" "Dremomys pyrrhomerus" NA NA NA NA
"Rodentia" "Dremomys rufigenis" 200.32 202.68 NA NA
"Microbiotheria" "Dromiciops gliroides" 25 105.74 NA 3
"Rodentia" "Dryomys laniger" 25.91 105 NA 4.18
"Rodentia" "Dryomys niethammeri" NA NA NA NA
"Rodentia" "Dryomys nitedula" 29.5 105 NA 3.24
"Sirenia" "Dugong dugon" 295000 2550 47.17 1
"Carnivora" "Dusicyon australis" NA 957.14 NA NA
"Chiroptera" "Dyacopterus brooksi" NA NA NA NA
"Chiroptera" "Dyacopterus spadiceus" 81.1 129.3 NA NA
"Soricomorpha" "Dymecodon pilirostris" 15.46 65.87 NA 3
"Rodentia" "Echimys chrysurus" 609.99 296.11 NA 1.94
"Rodentia" "Echimys saturnus" 626.89 NA NA NA
"Rodentia" "Echimys semivillosus" 282.36 NA NA NA
"Rodentia" "Echinoprocta rufescens" 831.79 NA NA NA
"Afrosoricida" "Echinops telfairi" 152.25 160 NA 5.49
"Erinaceomorpha" "Echinosorex gymnura" 756.53 327.7 NA 1.9
"Rodentia" "Echiothrix centrosa" NA NA NA NA
"Rodentia" "Echiothrix leucura" NA NA NA NA
"Peramelemorphia" "Echymipera clara" 1204.61 340.92 0.01 2.2
"Peramelemorphia" "Echymipera davidi" 817.05 375.82 NA NA
"Peramelemorphia" "Echymipera echinista" 1204.61 348.94 NA NA
"Peramelemorphia" "Echymipera kalubu" 825.16 270.27 0.01 2.07
"Peramelemorphia" "Echymipera rufescens" 1051.48 452.54 NA 2.18
"Chiroptera" "Ectophylla alba" 5.55 NA NA 0.99
"Chiroptera" "Eidolon dupreanum" 297.58 202.5 NA 1.22
"Chiroptera" "Eidolon helvum" 254.61 182.58 NA 1.08
"Carnivora" "Eira barbara" 4134.99 612.64 11.4 2.14
"Artiodactyla" "Elaphodus cephalophus" 23087.87 NA NA 1
"Artiodactyla" "Elaphurus davidianus" 165989.17 NA NA 1.22
"Rodentia" "Elasmodontomys obliquus" 13700 NA NA NA
"Macroscelidea" "Elephantulus brachyrhynchus" 45.11 115.62 NA 1.54
"Macroscelidea" "Elephantulus edwardii" 49.69 118.86 NA 1.8
"Macroscelidea" "Elephantulus fuscipes" 57 NA NA 0.96
"Carnivora" "Enhydra lutris" 27410.93 1435.71 3.43 0.96
"Rodentia" "Eoglaucomys fimbriatus" 510 NA NA 3.74
"Rodentia" "Eolagurus luteus" 26 NA NA 7.5
"Rodentia" "Eolagurus przewalskii" NA NA NA NA
"Chiroptera" "Eonycteris major" 70.7 NA NA 1
"Chiroptera" "Eonycteris robusta" 78.36 NA NA NA
"Chiroptera" "Eonycteris spelaea" 58.7 123.83 NA 1
"Rodentia" "Eospalax fontanierii" 256.76 NA NA NA
"Rodentia" "Eospalax rothschildi" NA NA NA NA
"Rodentia" "Eospalax smithii" NA NA NA NA
"Rodentia" "Eothenomys cachinus" NA NA NA NA
"Rodentia" "Eothenomys chinensis" NA NA NA NA
"Rodentia" "Eothenomys custos" NA NA NA NA
"Rodentia" "Eothenomys melanogaster" 19.59 92.88 NA 1.8
"Rodentia" "Eothenomys miletus" NA NA NA NA
"Rodentia" "Eothenomys olitor" NA NA NA NA
"Rodentia" "Eothenomys proditor" NA NA NA NA
"Rodentia" "Eothenomys wardi" NA NA NA NA
"Rodentia" "Eozapus setchuanus" NA NA NA NA
"Soricomorpha" "Episoriculus caudatus" NA 65 NA 4.77
"Soricomorpha" "Episoriculus fumidus" 6.95 67.39 NA 3.42
"Soricomorpha" "Episoriculus leucops" NA 66 NA NA
"Soricomorpha" "Episoriculus macrurus" NA NA NA NA
"Rodentia" "Epixerus ebii" 520.96 287.54 NA 2
"Chiroptera" "Epomophorus angolensis" NA NA NA 1
"Chiroptera" "Epomophorus crypturus" 95.04 NA NA 0.99
"Chiroptera" "Epomophorus gambianus" 134.59 159.41 NA 0.98
"Chiroptera" "Epomophorus grandis" 49.42 135.96 NA NA
"Chiroptera" "Epomophorus labiatus" 69.65 94.33 NA 0.99
"Chiroptera" "Epomophorus minimus" NA NA NA NA
"Chiroptera" "Epomophorus minor" 44.76 NA NA NA
"Chiroptera" "Epomophorus wahlbergi" 93.59 131.69 NA 0.99
"Chiroptera" "Epomops buettikoferi" 135.67 NA NA 0.98
"Chiroptera" "Epomops dobsonii" 122.08 NA NA NA
"Chiroptera" "Epomops franqueti" 118.99 135.03 NA 1
"Chiroptera" "Eptesicus andinus" NA NA NA NA
"Chiroptera" "Eptesicus bobrinskoi" 7.54 NA NA NA
"Chiroptera" "Eptesicus bottae" 15.66 NA NA NA
"Chiroptera" "Eptesicus brasiliensis" 9.2 NA NA 1.46
"Chiroptera" "Eptesicus chiriquinus" NA NA NA NA
"Chiroptera" "Eptesicus diminutus" 5.99 NA NA NA
"Chiroptera" "Eptesicus dimissus" 13.03 NA NA NA
"Chiroptera" "Eptesicus floweri" NA NA NA NA
"Chiroptera" "Eptesicus furinalis" 7.7 NA NA 1.86
"Chiroptera" "Eptesicus fuscus" 17.49 NA NA 1.85
"Chiroptera" "Eptesicus gobiensis" NA NA NA NA
"Chiroptera" "Eptesicus guadeloupensis" NA NA NA NA
"Chiroptera" "Eptesicus hottentotus" 30.33 NA NA NA
"Chiroptera" "Eptesicus innoxius" NA NA NA NA
"Carnivora" "Genetta servalina" 1175.84 486.39 NA 1.5
"Carnivora" "Genetta thierryi" 1400 418.64 NA NA
"Carnivora" "Genetta tigrina" 2066.57 543.37 0.04 2.76
"Carnivora" "Genetta victoriae" 2743.69 570.78 NA NA
"Rodentia" "Geocapromys brownii" 1497.48 378.14 NA 1.73
"Rodentia" "Geocapromys ingrahami" 733.52 395 NA 1.04
"Rodentia" "Geocapromys thoracatus" 1500 337.49 NA NA
"Afrosoricida" "Geogale aurita" 6.69 71 NA 3.4
"Rodentia" "Geomys arenarius" 206 172.69 NA 4.71
"Rodentia" "Geomys attwateri" 144.06 153.54 0.000214131 1.89
"Rodentia" "Geomys breviceps" 136.47 150.63 NA 2.53
"Rodentia" "Geomys bursarius" 203.75 177.03 NA 3.14
"Rodentia" "Geomys knoxjonesi" 172.49 154.46 NA NA
"Rodentia" "Geomys personatus" 397 184.41 NA 3.09
"Rodentia" "Geomys pinetis" 201.15 NA NA 1.68
"Rodentia" "Geomys texensis" NA 165.35 NA NA
"Rodentia" "Geomys tropicalis" 349.99 172.85 NA 4
"Rodentia" "Georychus capensis" 188.36 NA 0.000212281 5.94
"Rodentia" "Geoxus valdivianus" 30.8 NA NA 3.4
"Rodentia" "Gerbilliscus afra" 92.13 NA NA 3.92
"Rodentia" "Gerbilliscus boehmi" NA NA NA 4.06
"Rodentia" "Gerbilliscus brantsii" 89.41 NA 0.000541371 2.74
"Rodentia" "Gerbilliscus guineae" 102.5 NA NA NA
"Rodentia" "Gerbilliscus inclusus" 118.5 160.75 NA NA
"Rodentia" "Gerbilliscus kempi" 100.83 NA NA 4
"Rodentia" "Gerbilliscus leucogaster" 73.75 NA NA 4.5
"Rodentia" "Gerbilliscus nigricaudus" 123 NA NA 4.44
"Rodentia" "Gerbilliscus phillipsi" 127.07 144.99 NA NA
"Rodentia" "Gerbilliscus robustus" 95.99 NA NA 5.26
"Rodentia" "Gerbilliscus validus" 121 NA NA 3.94
"Rodentia" "Gerbillurus paeba" 25.91 93.22 0.01 3.64
"Rodentia" "Gerbillurus setzeri" 38.29 105.28 NA NA
"Rodentia" "Gerbillurus tytonis" 29.79 98.9 NA 4.4
"Rodentia" "Gerbillurus vallinus" 35.24 98.46 NA 3.87
"Rodentia" "Gerbillus acticola" NA NA NA NA
"Rodentia" "Gerbillus agag" NA NA NA NA
"Rodentia" "Gerbillus amoenus" 13.2 NA NA NA
"Rodentia" "Gerbillus andersoni" 27.5 NA NA 3.89
"Rodentia" "Gerbillus aquilus" NA NA NA NA
"Rodentia" "Gerbillus brockmani" NA NA NA NA
"Rodentia" "Gerbillus burtoni" NA NA NA NA
"Rodentia" "Gerbillus cheesmani" 28 NA NA 8
"Rodentia" "Gerbillus dongolanus" NA NA NA NA
"Rodentia" "Gerbillus dunni" NA NA NA NA
"Rodentia" "Gerbillus famulus" NA NA NA NA
"Rodentia" "Gerbillus floweri" NA NA NA NA
"Rodentia" "Gerbillus garamantis" NA NA NA NA
"Cetacea" "Eschrichtius robustus" 27324024.19 11831.89 NA 1
"Cetacea" "Eubalaena australis" 22999999.91 14150 NA NA
"Cetacea" "Eubalaena glacialis" 22999999.91 13907.08 NA 1
"Cetacea" "Eubalaena japonica" NA NA NA NA
"Rodentia" "Euchoreutes naso" NA NA NA NA
"Chiroptera" "Euderma maculatum" 16.17 NA NA 1
"Chiroptera" "Eudiscopus denticulus" NA NA NA NA
"Artiodactyla" "Eudorcas rufifrons" 26999.77 885 NA 1
"Chiroptera" "Eumops auripendulus" 28.49 NA NA 0.98
"Chiroptera" "Eumops bonariensis" 12.22 NA NA 0.99
"Chiroptera" "Eumops dabbenei" 67.27 NA NA NA
"Chiroptera" "Eumops glaucinus" 36.2 NA NA 1.04
"Chiroptera" "Eumops hansae" 15.47 NA NA NA
"Chiroptera" "Eumops maurus" NA NA NA NA
"Rodentia" "Exilisciurus exilis" 21.75 83 NA 2.46
"Rodentia" "Exilisciurus whiteheadi" 24.91 83 NA 1.94
"Chiroptera" "Falsistrellus affinis" NA NA NA NA
"Chiroptera" "Falsistrellus mackenziei" 23 NA NA NA
"Chiroptera" "Falsistrellus mordax" NA NA NA NA
"Chiroptera" "Falsistrellus petersi" NA NA NA NA
"Chiroptera" "Falsistrellus tasmaniensis" 22.54 NA NA NA
"Carnivora" "Felis bieti" 5486.95 783.95 NA NA
"Carnivora" "Felis catus" 2884.8 NA 1.41 NA
"Carnivora" "Felis chaus" 7157.99 704.16 NA 2.94
"Carnivora" "Felis manul" 3050 573.28 NA 4.83
"Carnivora" "Felis margarita" 2823.36 511.33 NA 4.12
"Carnivora" "Felis nigripes" 1362.77 400.05 NA 1.78
"Rodentia" "Graphiurus ocularis" 68.8 NA 0.09 4.99
"Rodentia" "Graphiurus platyops" 46.1 NA NA 5.17
"Rodentia" "Graphiurus rupicola" NA NA NA NA
"Rodentia" "Graphiurus surdus" NA NA NA 4.99
"Carnivora" "Gulo gulo" 12792.49 772.1 343.27 2.84
"Diprotodontia" "Gymnobelideus leadbeateri" 137.32 NA 0.01 1.54
"Rodentia" "Gymnuromys roberti" 97.5 142.5 NA 1.94
"Rodentia" "Habromys chinanteco" 40 NA NA NA
"Rodentia" "Habromys delicatulus" NA NA NA NA
"Rodentia" "Habromys ixtlani" NA NA NA NA
"Rodentia" "Habromys lepturus" 84.99 NA NA 1.9
"Rodentia" "Habromys lophurus" 40 NA NA NA
"Rodentia" "Habromys simulatus" 40 NA NA NA
"Rodentia" "Hadromys humei" NA NA NA NA
"Rodentia" "Hadromys yunnanensis" NA NA NA NA
"Rodentia" "Haeromys margarettae" NA 75.99 NA NA
"Rodentia" "Haeromys minahassae" NA NA NA NA
"Rodentia" "Haeromys pusillus" NA 65 NA NA
"Carnivora" "Halichoerus grypus" 197570.01 2079.47 NA 0.96
"Rodentia" "Handleyomys fuscatus" 49.5 NA NA NA
"Rodentia" "Handleyomys intectus" 60.5 NA NA NA
"Primates" "Hapalemur alaotrensis" 1616.83 NA NA NA
"Primates" "Hapalemur aureus" 1562.41 305.08 0.21 1.01
"Primates" "Hapalemur griseus" 916 335 0.01 1.5
"Primates" "Hapalemur occidentalis" NA NA NA NA
"Rodentia" "Hapalomys delacouri" NA NA NA NA
"Rodentia" "Hapalomys longicaudatus" 70 NA NA NA
"Chiroptera" "Haplonycteris fischeri" 18.25 NA NA 1
