version_event,source_id,quote_id,license_event,doi_event,crc_event,version_position,position_description,name_position,location_type,latitude,longitude,geometry,elevation,geonames_id,version_period,calendar,begin_year,begin_month_id,begin_month,begin_day_id,begin_day,begin_hour_id,begin_hour,begin_timestamp,end_year,end_month_id,end_month,end_day_id,end_day,end_hour_id,end_hour,end_timestamp,version_coding,codeset_id,codeset_description,category,path,node_id,node_label,scale_id,scale_label,value_id,value_label,value_index,average,variance,si_unit,si_average,si_variance
0,11787,250291,"not published",,368eb23c1724c9b2071a300d43516496,0,,"Freiburg, Vauban",location,47.976005,7.824701,,,,0,gregorian,2017,1,january,15,15,18,"5 pm","2017-01-15 17:00:00",2017,1,january,15,15,20,"7 pm","2017-01-15 19:59:59",0,600648,"Can hear dripping ",climate,"climate/precipitation/amount of precipitation",616,"shortterm precipitation",51,"shortterm precipitation",102,"some precipitation",1,,,,,
0,11787,250298,"not published",,c5f8bfbe79ffedb8e2010ed9c6be5d1b,0,,"Freiburg, Vauban",location,47.976005,7.824701,,,,0,gregorian,2017,1,january,17,17,9,"8 am","2017-01-17 08:00:00",2017,1,january,17,17,11,"10 am","2017-01-17 10:59:59",0,600655,"cold crips and fresh",climate,climate/temperature,237,"temperature level",1,"temperature level",2,"normal temperature",0,,,,,
0,11781,250280,"not published",,ccb0d826978b85a1acf54f8e0dce6495,0,,"Freiburg, Mensa Institutsviertel",location,48.002525,7.848597,,,,0,gregorian,2017,1,january,17,17,13,noon,"2017-01-17 12:00:00",2017,1,january,17,17,15,"2 pm","2017-01-17 14:59:59",0,600634,"extremely cold",climate,climate/temperature,237,"temperature level",1,"temperature level",4,"very cold",-3,,,,,
0,11786,250303,"not published",,d0822911d6d708a9faa6f5c46df24227,0,,"Freiburg, Herderbau",location,48.003428,7.853443,,,,0,gregorian,2017,1,january,13,13,13,noon,"2017-01-13 12:00:00",2017,1,january,13,13,15,"2 pm","2017-01-13 14:59:59",0,600660,"Cool ",climate,climate/temperature,237,"temperature level",1,"temperature level",2,"normal temperature",0,,,,,
0,11786,250303,"not published",,998c6f27ce2c8f780cc5383713bbecdd,0,,"Freiburg, Herderbau",location,48.003428,7.853443,,,,0,gregorian,2017,1,january,13,13,13,noon,"2017-01-13 12:00:00",2017,1,january,13,13,15,"2 pm","2017-01-13 14:59:59",0,600659,"mostly cloudy with patches of sunlight",climate,climate/clouds,153,"cloud cover",4,"cloud cover",34,"1/4: mostly sunny",1,,,n[],,
0,11786,250306,"not published",,0e459d99c0e2645a0fc82b276d8c0414,0,,"Freiburg, Sundgauallee 30",location,48.007353,7.818589,,,,0,gregorian,2017,1,january,13,13,18,"5 pm","2017-01-13 17:00:00",2017,1,january,13,13,20,"7 pm","2017-01-13 19:59:59",0,600662,"Feels very cold ",climate,climate/temperature,237,"temperature level",1,"temperature level",4,"very cold",-3,,,,,
0,11787,250299,"not published",,237a34768deb9244cd2699805d6b6a33,0,,"Freiburg, Herderbau",location,48.003428,7.853443,,,,0,gregorian,2017,1,january,17,17,13,noon,"2017-01-17 12:00:00",2017,1,january,17,17,15,"2 pm","2017-01-17 14:59:59",0,600656,"Sunny! ",society,"society/human health",855,"human well-being",105,well-being,162,"very positive well-being",3,,,,,
0,11786,250306,"not published",,c1eea3cbb699cc5bd7f5b9acdadb2b42,0,,"Freiburg, Sundgauallee 30",location,48.007353,7.818589,,,,0,gregorian,2017,1,january,13,13,18,"5 pm","2017-01-13 17:00:00",2017,1,january,13,13,20,"7 pm","2017-01-13 19:59:59",0,600661,"No precipitation.",climate,"climate/precipitation/amount of precipitation",616,"shortterm precipitation",51,"shortterm precipitation",101,"no precipitation",0,,,,,
0,11786,250308,"not published",,79acd3ba7a35163959c0b494204069b6,0,,"Freiburg, Sundgauallee 30",location,48.007353,7.818589,,,,0,gregorian,2017,1,january,14,14,9,"8 am","2017-01-14 08:00:00",2017,1,january,14,14,11,"10 am","2017-01-14 10:59:59",0,600665,"Feels very cold ",climate,climate/temperature,237,"temperature level",1,"temperature level",7,cold,-2,,,,,
0,11786,250308,"not published",,6110a1b9ed8aa31c69654dd81651bff7,0,,"Freiburg, Sundgauallee 30",location,48.007353,7.818589,,,,0,gregorian,2017,1,january,14,14,9,"8 am","2017-01-14 08:00:00",2017,1,january,14,14,11,"10 am","2017-01-14 10:59:59",0,600664,"Full cloud cover ",climate,climate/clouds,153,"cloud cover",4,"cloud cover",32,"4/4: fully clouded",4,,,n[],,
0,11786,250311,"not published",,5a452d866b32afd6e2c9e9a170336eb6,0,,"Freiburg, Sundgauallee 30",location,48.007353,7.818589,,,,0,gregorian,2017,1,january,14,14,13,noon,"2017-01-14 12:00:00",2017,1,january,14,14,15,"2 pm","2017-01-14 14:59:59",0,600666,"Rain/snow mix falling ",climate,"climate/precipitation/amount of precipitation",616,"shortterm precipitation",51,"shortterm precipitation",103,"very much precipitation",3,,,,,
0,11786,250303,"not published",,7e60cee285a51617b37cd03258a61d87,0,,"Freiburg, Herderbau",location,48.003428,7.853443,,,,0,gregorian,2017,1,january,13,13,13,noon,"2017-01-13 12:00:00",2017,1,january,13,13,15,"2 pm","2017-01-13 14:59:59",0,600658,"Light snowfall",climate,"climate/precipitation/amount of precipitation",616,"shortterm precipitation",51,"shortterm precipitation",100,"much precipitation",2,,,,,
0,11786,250311,"not published",,d90fc1c9b92025f3c89a543fa6e412fd,0,,"Freiburg, Sundgauallee 30",location,48.007353,7.818589,,,,0,gregorian,2017,1,january,14,14,13,noon,"2017-01-14 12:00:00",2017,1,january,14,14,15,"2 pm","2017-01-14 14:59:59",0,600667,"Still full cloud cover ",climate,climate/clouds,153,"cloud cover",4,"cloud cover",32,"4/4: fully clouded",4,,,n[],,
0,11786,250311,"not published",,a2fa52322a72f2036fe8eea43a68eb30,0,,"Freiburg, Sundgauallee 30",location,48.007353,7.818589,,,,0,gregorian,2017,1,january,14,14,13,noon,"2017-01-14 12:00:00",2017,1,january,14,14,15,"2 pm","2017-01-14 14:59:59",0,600668,"slightly less cold",climate,climate/temperature,237,"temperature level",1,"temperature level",2,"normal temperature",0,,,,,
0,11786,250314,"not published",,76e2f0ca8e63afbdbb82c7035083dc26,0,,"Freiburg, Sundgauallee 30",location,48.007353,7.818589,,,,0,gregorian,2017,1,january,14,14,18,"5 pm","2017-01-14 17:00:00",2017,1,january,14,14,20,"7 pm","2017-01-14 19:59:59",0,600669,"Wet, cold snow falling in flurries",climate,"climate/precipitation/amount of precipitation",616,"shortterm precipitation",51,"shortterm precipitation",103,"very much precipitation",3,,,,,
0,11786,250314,"not published",,9e8c3368a98e6b0a00357e64ad8aac7f,0,,"Freiburg, Sundgauallee 30",location,48.007353,7.818589,,,,0,gregorian,2017,1,january,14,14,18,"5 pm","2017-01-14 17:00:00",2017,1,january,14,14,20,"7 pm","2017-01-14 19:59:59",0,600671,"Feels to be just below freezing",climate,climate/temperature,237,"temperature level",1,"temperature level",7,cold,-2,,,,,
0,11786,250306,"not published",,0abca292dc7059fafe48c44067beace0,0,,"Freiburg, Sundgauallee 30",location,48.007353,7.818589,,,,0,gregorian,2017,1,january,13,13,18,"5 pm","2017-01-13 17:00:00",2017,1,january,13,13,20,"7 pm","2017-01-13 19:59:59",0,600663,"Cloudy, with patches of light and dark clouds. ",climate,climate/clouds,153,"cloud cover",4,"cloud cover",34,"1/4: mostly sunny",1,,,n[],,
0,11786,250317,"not published",,664506c73e7782e2fbf9d7c373ae1aab,0,,"Freiburg, Sundgauallee 30",location,48.007353,7.818589,,,,0,gregorian,2017,1,january,15,15,9,"8 am","2017-01-15 08:00:00",2017,1,january,15,15,11,"10 am","2017-01-15 10:59:59",0,600673,"Soft snow falling ",climate,"climate/precipitation/amount of precipitation",616,"shortterm precipitation",51,"shortterm precipitation",103,"very much precipitation",3,,,,,
